,date,accumulate,daily,death,released
0,2/1,12,1,0,0
1,2/2,15,3,0,0
2,2/3,15,0,0,0
3,2/4,16,1,0,0
4,2/5,19,3,0,0
5,2/6,23,4,0,1
6,2/7,24,1,0,1
7,2/8,24,0,0,2
8,2/9,27,3,0,3
9,2/10,27,0,0,3
10,2/11,28,1,0,4
11,2/12,28,0,0,4
12,2/13,28,0,0,7
13,2/14,28,0,0,7
14,2/15,28,0,0,9
15,2/16,29,1,0,9
16,2/17,30,1,0,9
17,2/18,31,1,0,10
18,2/19,51,20,0,12
19,2/20,104,53,1,16
20,2/21,204,100,2,16
21,2/22,433,229,2,17
22,2/23,602,169,6,18
23,2/24,833,231,8,18
24,2/25,977,144,12,22
25,2/26,1261,284,13,22
26,2/27,1766,505,13,24
27,2/28,2337,571,16,26
28,2/29,3150,813,17,27
29,3/1,3736,586,21,30
30,3/2,4212,476,22,30
31,3/3,4812,600,28,34
32,3/4,5328,516,32,41
33,3/5,5766,438,35,88
34,3/6,6284,518,42,108
35,3/7,6767,483,44,118
36,3/8,7134,367,50,130
37,3/9,7382,284,51,166
38,3/10,7513,131,54,247
39,3/11,7755,242,60,288
40,3/12,7869,114,66,333
41,3/13,7979,110,67,410
42,3/14,8086,107,72,714
43,3/15,8162,76,75,834
44,3/16,8236,74,75,1137
45,3/17,8320,158,81,1401
46,3/18,8413,93,84,1540
47,3/19,8565,152,91,1947
48,3/20,8652,87,94,2233
49,3/21,8799,147,102,2612
50,3/22,8897,98,104,2909
51,3/23,8961,396,111,3166
52,3/24,9037,76,120,3507
53,3/25,9137,100,126,3730
54,3/26,9241,104,131,4144
55,3/27,9332,91,139,4528
56,3/28,9478,146,144,4811
57,3/29,9583,105,152,5033
58,3/30,9661,78,158,5228
59,3/31,9786,125,162,5408
60,4/1,9887,101,165,5567
61,4/2,9976,89,169,5828
62,4/3,10062,86,174,6021
63,4/4,10156,94,177,6325
64,4/5,10237,81,183,6463
65,4/6,10284,47,186,6598
66,4/7,10331,47,192,6694
67,4/8,10384,53,200,6776
68,4/9,10423,39,204,6973
69,4/10,10450,27,208,7117
70,4/11,10480,30,211,7243
71,4/12,10512,32,214,7368
72,4/13,10537,25,217,7447
73,4/14,10564,27,222,7534
74,4/15,10591,27,225,7616
75,4/16,10613,22,229,7757
76,4/17,10635,22,230,7829
77,4/18,10653,18,232,7937
78,4/19,10661,8,232,7937
79,4/20,10674,13,236,8114
80,4/21,10683,9,237,8213
81,4/22,10694,11,238,8277
82,4/23,10702,8,240,8411
83,4/24,10708,6,240,8501
84,4/25,10718,10,240,8635
85,4/26,10728,10,242,8717
86,4/27,10738,10,243,8764
87,4/28,10752,14,244,8854
88,4/29,10761,9,246,8922
89,4/30,10765,4,247,9059
90,5/1,10774,9,248,9027
91,5/2,10780,6,250,9123
92,5/3,10793,13,250,9183
