ages,confirmed,date
0-9,482,2020-09-04
10-19,1188,2020-09-04
20-29,4427,2020-09-04
30-39,2585,2020-09-04
40-49,2797,2020-09-04
50-59,3807,2020-09-04
60-69,3136,2020-09-04
70-79,1578,2020-09-04
80-,842,2020-09-04
0-9,473,2020-09-03
10-19,1181,2020-09-03
20-29,4410,2020-09-03
30-39,2561,2020-09-03
40-49,2770,2020-09-03
50-59,3768,2020-09-03
60-69,3098,2020-09-03
70-79,1556,2020-09-03
80-,827,2020-09-03
0-9,466,2020-09-02
10-19,1174,2020-09-02
20-29,4388,2020-09-02
30-39,2540,2020-09-02
40-49,2741,2020-09-02
50-59,3732,2020-09-02
60-69,3064,2020-09-02
70-79,1534,2020-09-02
80-,810,2020-09-02
0-9,456,2020-09-01
10-19,1162,2020-09-01
20-29,4345,2020-09-01
30-39,2515,2020-09-01
40-49,2717,2020-09-01
50-59,3684,2020-09-01
60-69,3013,2020-09-01
70-79,1494,2020-09-01
80-,796,2020-09-01
0-9,442,2020-08-31
10-19,1145,2020-08-31
20-29,4320,2020-08-31
30-39,2491,2020-08-31
40-49,2692,2020-08-31
50-59,3639,2020-08-31
60-69,2968,2020-08-31
70-79,1464,2020-08-31
80-,786,2020-08-31
0-9,432,2020-08-30
10-19,1134,2020-08-30
20-29,4277,2020-08-30
30-39,2476,2020-08-30
40-49,2664,2020-08-30
50-59,3590,2020-08-30
60-69,2913,2020-08-30
70-79,1438,2020-08-30
80-,775,2020-08-30
0-9,422,2020-08-29
10-19,1122,2020-08-29
20-29,4233,2020-08-29
30-39,2437,2020-08-29
40-49,2627,2020-08-29
50-59,3535,2020-08-29
60-69,2840,2020-08-29
70-79,1417,2020-08-29
80-,767,2020-08-29
0-9,406,2020-08-28
10-19,1104,2020-08-28
20-29,4202,2020-08-28
30-39,2401,2020-08-28
40-49,2580,2020-08-28
50-59,3481,2020-08-28
60-69,2773,2020-08-28
70-79,1381,2020-08-28
80-,749,2020-08-28
0-9,390,2020-08-27
10-19,1087,2020-08-27
20-29,4170,2020-08-27
30-39,2353,2020-08-27
40-49,2527,2020-08-27
50-59,3408,2020-08-27
60-69,2709,2020-08-27
70-79,1333,2020-08-27
80-,729,2020-08-27
0-9,381,2020-08-26
10-19,1060,2020-08-26
20-29,4118,2020-08-26
30-39,2303,2020-08-26
40-49,2457,2020-08-26
50-59,3300,2020-08-26
60-69,2644,2020-08-26
70-79,1292,2020-08-26
80-,710,2020-08-26
0-9,368,2020-08-25
10-19,1047,2020-08-25
20-29,4081,2020-08-25
30-39,2256,2020-08-25
40-49,2415,2020-08-25
50-59,3240,2020-08-25
60-69,2587,2020-08-25
70-79,1258,2020-08-25
80-,693,2020-08-25
0-9,353,2020-08-24
10-19,1028,2020-08-24
20-29,4040,2020-08-24
30-39,2226,2020-08-24
40-49,2382,2020-08-24
50-59,3187,2020-08-24
60-69,2537,2020-08-24
70-79,1228,2020-08-24
80-,684,2020-08-24
0-9,344,2020-08-23
10-19,1015,2020-08-23
20-29,4010,2020-08-23
30-39,2191,2020-08-23
40-49,2343,2020-08-23
50-59,3139,2020-08-23
60-69,2485,2020-08-23
70-79,1204,2020-08-23
80-,668,2020-08-23
0-9,328,2020-08-22
10-19,980,2020-08-22
20-29,3976,2020-08-22
30-39,2151,2020-08-22
40-49,2281,2020-08-22
50-59,3057,2020-08-22
60-69,2398,2020-08-22
70-79,1177,2020-08-22
80-,654,2020-08-22
0-9,317,2020-08-21
10-19,961,2020-08-21
20-29,3921,2020-08-21
30-39,2111,2020-08-21
40-49,2233,2020-08-21
50-59,2991,2020-08-21
60-69,2342,2020-08-21
70-79,1143,2020-08-21
80-,651,2020-08-21
0-9,311,2020-08-20
10-19,942,2020-08-20
20-29,3879,2020-08-20
30-39,2071,2020-08-20
40-49,2191,2020-08-20
50-59,2930,2020-08-20
60-69,2268,2020-08-20
70-79,1109,2020-08-20
80-,645,2020-08-20
0-9,299,2020-08-19
10-19,907,2020-08-19
20-29,3849,2020-08-19
30-39,2036,2020-08-19
40-49,2159,2020-08-19
50-59,2875,2020-08-19
60-69,2220,2020-08-19
70-79,1079,2020-08-19
80-,634,2020-08-19
0-9,285,2020-08-18
10-19,890,2020-08-18
20-29,3820,2020-08-18
30-39,2004,2020-08-18
40-49,2120,2020-08-18
50-59,2817,2020-08-18
60-69,2148,2020-08-18
70-79,1050,2020-08-18
80-,627,2020-08-18
0-9,280,2020-08-17
10-19,872,2020-08-17
20-29,3803,2020-08-17
30-39,1977,2020-08-17
40-49,2093,2020-08-17
50-59,2756,2020-08-17
60-69,2081,2020-08-17
70-79,1028,2020-08-17
80-,625,2020-08-17
0-9,275,2020-08-16
10-19,859,2020-08-16
20-29,3781,2020-08-16
30-39,1950,2020-08-16
40-49,2070,2020-08-16
50-59,2718,2020-08-16
60-69,2033,2020-08-16
70-79,1014,2020-08-16
80-,618,2020-08-16
0-9,272,2020-08-15
10-19,836,2020-08-15
20-29,3742,2020-08-15
30-39,1922,2020-08-15
40-49,2035,2020-08-15
50-59,2660,2020-08-15
60-69,1977,2020-08-15
70-79,983,2020-08-15
80-,612,2020-08-15
0-9,268,2020-08-14
10-19,826,2020-08-14
20-29,3710,2020-08-14
30-39,1902,2020-08-14
40-49,2011,2020-08-14
50-59,2627,2020-08-14
60-69,1948,2020-08-14
70-79,972,2020-08-14
80-,609,2020-08-14
0-9,264,2020-08-13
10-19,816,2020-08-13
20-29,3696,2020-08-13
30-39,1885,2020-08-13
40-49,1995,2020-08-13
50-59,2608,2020-08-13
60-69,1933,2020-08-13
70-79,966,2020-08-13
80-,607,2020-08-13
0-9,262,2020-08-12
10-19,810,2020-08-12
20-29,3685,2020-08-12
30-39,1873,2020-08-12
40-49,1990,2020-08-12
50-59,2598,2020-08-12
60-69,1927,2020-08-12
70-79,964,2020-08-12
80-,605,2020-08-12
0-9,261,2020-08-11
10-19,803,2020-08-11
20-29,3681,2020-08-11
30-39,1862,2020-08-11
40-49,1978,2020-08-11
50-59,2586,2020-08-11
60-69,1925,2020-08-11
70-79,961,2020-08-11
80-,603,2020-08-11
0-9,261,2020-08-10
10-19,803,2020-08-10
20-29,3675,2020-08-10
30-39,1857,2020-08-10
40-49,1974,2020-08-10
50-59,2577,2020-08-10
60-69,1918,2020-08-10
70-79,958,2020-08-10
80-,603,2020-08-10
0-9,261,2020-08-09
10-19,803,2020-08-09
20-29,3671,2020-08-09
30-39,1854,2020-08-09
40-49,1971,2020-08-09
50-59,2573,2020-08-09
60-69,1905,2020-08-09
70-79,957,2020-08-09
80-,603,2020-08-09
0-9,257,2020-08-08
10-19,802,2020-08-08
20-29,3664,2020-08-08
30-39,1849,2020-08-08
40-49,1968,2020-08-08
50-59,2566,2020-08-08
60-69,1898,2020-08-08
70-79,957,2020-08-08
80-,601,2020-08-08
0-9,256,2020-08-07
10-19,801,2020-08-07
20-29,3657,2020-08-07
30-39,1845,2020-08-07
40-49,1964,2020-08-07
50-59,2556,2020-08-07
60-69,1885,2020-08-07
