province,confirmed,date
검역,3,2020년 09월 03일 00시
제주,0,2020년 09월 03일 00시
경남,0,2020년 09월 03일 00시
경북,0,2020년 09월 03일 00시
전남,6,2020년 09월 03일 00시
전북,0,2020년 09월 03일 00시
충남,7,2020년 09월 03일 00시
충북,1,2020년 09월 03일 00시
강원,4,2020년 09월 03일 00시
경기,64,2020년 09월 03일 00시
세종,0,2020년 09월 03일 00시
울산,8,2020년 09월 03일 00시
대전,4,2020년 09월 03일 00시
광주,6,2020년 09월 03일 00시
인천,16,2020년 09월 03일 00시
대구,3,2020년 09월 03일 00시
부산,4,2020년 09월 03일 00시
서울,69,2020년 09월 03일 00시
합계,195,2020년 09월 03일 00시
검역,3,2020년 09월 02일 00시
제주,1,2020년 09월 02일 00시
경남,1,2020년 09월 02일 00시
경북,4,2020년 09월 02일 00시
전남,3,2020년 09월 02일 00시
전북,0,2020년 09월 02일 00시
충남,7,2020년 09월 02일 00시
충북,1,2020년 09월 02일 00시
강원,2,2020년 09월 02일 00시
경기,84,2020년 09월 02일 00시
세종,0,2020년 09월 02일 00시
울산,5,2020년 09월 02일 00시
대전,14,2020년 09월 02일 00시
광주,10,2020년 09월 02일 00시
인천,11,2020년 09월 02일 00시
대구,13,2020년 09월 02일 00시
부산,7,2020년 09월 02일 00시
서울,101,2020년 09월 02일 00시
합계,267,2020년 09월 02일 00시
검역,4,2020년 09월 01일 00시
제주,1,2020년 09월 01일 00시
경남,3,2020년 09월 01일 00시
경북,9,2020년 09월 01일 00시
전남,4,2020년 09월 01일 00시
전북,0,2020년 09월 01일 00시
충남,7,2020년 09월 01일 00시
충북,1,2020년 09월 01일 00시
강원,4,2020년 09월 01일 00시
경기,63,2020년 09월 01일 00시
세종,0,2020년 09월 01일 00시
울산,6,2020년 09월 01일 00시
대전,8,2020년 09월 01일 00시
광주,4,2020년 09월 01일 00시
인천,22,2020년 09월 01일 00시
대구,2,2020년 09월 01일 00시
부산,3,2020년 09월 01일 00시
서울,94,2020년 09월 01일 00시
합계,235,2020년 09월 01일 00시
검역,3,2020년 08월 31일 00시
제주,6,2020년 08월 31일 00시
경남,1,2020년 08월 31일 00시
경북,2,2020년 08월 31일 00시
전남,5,2020년 08월 31일 00시
전북,1,2020년 08월 31일 00시
충남,9,2020년 08월 31일 00시
충북,1,2020년 08월 31일 00시
강원,3,2020년 08월 31일 00시
경기,79,2020년 08월 31일 00시
세종,1,2020년 08월 31일 00시
울산,5,2020년 08월 31일 00시
대전,7,2020년 08월 31일 00시
광주,9,2020년 08월 31일 00시
인천,14,2020년 08월 31일 00시
대구,4,2020년 08월 31일 00시
부산,4,2020년 08월 31일 00시
서울,94,2020년 08월 31일 00시
합계,248,2020년 08월 31일 00시
검역,7,2020년 08월 30일 00시
제주,2,2020년 08월 30일 00시
경남,7,2020년 08월 30일 00시
경북,3,2020년 08월 30일 00시
전남,8,2020년 08월 30일 00시
전북,0,2020년 08월 30일 00시
충남,8,2020년 08월 30일 00시
충북,5,2020년 08월 30일 00시
강원,2,2020년 08월 30일 00시
경기,80,2020년 08월 30일 00시
세종,1,2020년 08월 30일 00시
울산,3,2020년 08월 30일 00시
대전,6,2020년 08월 30일 00시
광주,2,2020년 08월 30일 00시
인천,13,2020년 08월 30일 00시
대구,30,2020년 08월 30일 00시
부산,6,2020년 08월 30일 00시
서울,116,2020년 08월 30일 00시
합계,299,2020년 08월 30일 00시
검역,5,2020년 08월 29일 00시
제주,1,2020년 08월 29일 00시
경남,12,2020년 08월 29일 00시
경북,1,2020년 08월 29일 00시
전남,9,2020년 08월 29일 00시
전북,0,2020년 08월 29일 00시
충남,8,2020년 08월 29일 00시
충북,6,2020년 08월 29일 00시
강원,0,2020년 08월 29일 00시
경기,104,2020년 08월 29일 00시
세종,0,2020년 08월 29일 00시
울산,0,2020년 08월 29일 00시
대전,4,2020년 08월 29일 00시
광주,16,2020년 08월 29일 00시
인천,20,2020년 08월 29일 00시
대구,6,2020년 08월 29일 00시
부산,6,2020년 08월 29일 00시
서울,125,2020년 08월 29일 00시
합계,323,2020년 08월 29일 00시
검역,8,2020년 08월 28일 00시
제주,2,2020년 08월 28일 00시
경남,4,2020년 08월 28일 00시
경북,1,2020년 08월 28일 00시
전남,12,2020년 08월 28일 00시
전북,2,2020년 08월 28일 00시
충남,9,2020년 08월 28일 00시
충북,5,2020년 08월 28일 00시
강원,3,2020년 08월 28일 00시
경기,113,2020년 08월 28일 00시
세종,2,2020년 08월 28일 00시
울산,1,2020년 08월 28일 00시
대전,3,2020년 08월 28일 00시
광주,17,2020년 08월 28일 00시
인천,27,2020년 08월 28일 00시
대구,8,2020년 08월 28일 00시
부산,8,2020년 08월 28일 00시
서울,146,2020년 08월 28일 00시
합계,371,2020년 08월 28일 00시
검역,3,2020년 08월 27일 00시
제주,1,2020년 08월 27일 00시
경남,8,2020년 08월 27일 00시
경북,4,2020년 08월 27일 00시
전남,13,2020년 08월 27일 00시
전북,2,2020년 08월 27일 00시
충남,15,2020년 08월 27일 00시
충북,1,2020년 08월 27일 00시
강원,14,2020년 08월 27일 00시
경기,102,2020년 08월 27일 00시
세종,0,2020년 08월 27일 00시
울산,2,2020년 08월 27일 00시
대전,3,2020년 08월 27일 00시
광주,39,2020년 08월 27일 00시
인천,59,2020년 08월 27일 00시
대구,13,2020년 08월 27일 00시
부산,8,2020년 08월 27일 00시
서울,154,2020년 08월 27일 00시
합계,441,2020년 08월 27일 00시
검역,3,2020년 08월 26일 00시
제주,2,2020년 08월 26일 00시
경남,5,2020년 08월 26일 00시
경북,0,2020년 08월 26일 00시
전남,13,2020년 08월 26일 00시
전북,7,2020년 08월 26일 00시
충남,12,2020년 08월 26일 00시
충북,0,2020년 08월 26일 00시
강원,18,2020년 08월 26일 00시
경기,98,2020년 08월 26일 00시
세종,0,2020년 08월 26일 00시
울산,2,2020년 08월 26일 00시
대전,7,2020년 08월 26일 00시
광주,7,2020년 08월 26일 00시
인천,27,2020년 08월 26일 00시
대구,3,2020년 08월 26일 00시
부산,4,2020년 08월 26일 00시
서울,112,2020년 08월 26일 00시
합계,320,2020년 08월 26일 00시
검역,3,2020년 08월 25일 00시
제주,3,2020년 08월 25일 00시
경남,2,2020년 08월 25일 00시
경북,1,2020년 08월 25일 00시
전남,1,2020년 08월 25일 00시
전북,4,2020년 08월 25일 00시
충남,9,2020년 08월 25일 00시
충북,2,2020년 08월 25일 00시
강원,8,2020년 08월 25일 00시
경기,72,2020년 08월 25일 00시
세종,3,2020년 08월 25일 00시
울산,0,2020년 08월 25일 00시
대전,11,2020년 08월 25일 00시
광주,4,2020년 08월 25일 00시
인천,15,2020년 08월 25일 00시
대구,5,2020년 08월 25일 00시
부산,3,2020년 08월 25일 00시
서울,134,2020년 08월 25일 00시
합계,280,2020년 08월 25일 00시
검역,4,2020년 08월 24일 00시
제주,0,2020년 08월 24일 00시
경남,1,2020년 08월 24일 00시
경북,6,2020년 08월 24일 00시
전남,7,2020년 08월 24일 00시
전북,4,2020년 08월 24일 00시
충남,8,2020년 08월 24일 00시
충북,10,2020년 08월 24일 00시
강원,6,2020년 08월 24일 00시
경기,85,2020년 08월 24일 00시
세종,3,2020년 08월 24일 00시
울산,1,2020년 08월 24일 00시
대전,10,2020년 08월 24일 00시
광주,1,2020년 08월 24일 00시
인천,20,2020년 08월 24일 00시
대구,0,2020년 08월 24일 00시
부산,3,2020년 08월 24일 00시
서울,97,2020년 08월 24일 00시
합계,266,2020년 08월 24일 00시
검역,4,2020년 08월 23일 00시
제주,0,2020년 08월 23일 00시
경남,9,2020년 08월 23일 00시
경북,2,2020년 08월 23일 00시
전남,14,2020년 08월 23일 00시
전북,0,2020년 08월 23일 00시
충남,10,2020년 08월 23일 00시
충북,3,2020년 08월 23일 00시
강원,15,2020년 08월 23일 00시
경기,125,2020년 08월 23일 00시
세종,0,2020년 08월 23일 00시
울산,3,2020년 08월 23일 00시
대전,15,2020년 08월 23일 00시
광주,17,2020년 08월 23일 00시
인천,32,2020년 08월 23일 00시
대구,6,2020년 08월 23일 00시
부산,2,2020년 08월 23일 00시
서울,140,2020년 08월 23일 00시
합계,397,2020년 08월 23일 00시
검역,4,2020년 08월 22일 00시
제주,2,2020년 08월 22일 00시
경남,9,2020년 08월 22일 00시
경북,4,2020년 08월 22일 00시
전남,7,2020년 08월 22일 00시
전북,4,2020년 08월 22일 00시
충남,7,2020년 08월 22일 00시
충북,2,2020년 08월 22일 00시
강원,16,2020년 08월 22일 00시
경기,95,2020년 08월 22일 00시
세종,1,2020년 08월 22일 00시
울산,3,2020년 08월 22일 00시
대전,5,2020년 08월 22일 00시
광주,11,2020년 08월 22일 00시
인천,22,2020년 08월 22일 00시
대구,9,2020년 08월 22일 00시
부산,3,2020년 08월 22일 00시
서울,128,2020년 08월 22일 00시
합계,332,2020년 08월 22일 00시
검역,3,2020년 08월 21일 00시
제주,0,2020년 08월 21일 00시
경남,4,2020년 08월 21일 00시
경북,6,2020년 08월 21일 00시
전남,6,2020년 08월 21일 00시
전북,5,2020년 08월 21일 00시
충남,13,2020년 08월 21일 00시
충북,3,2020년 08월 21일 00시
강원,9,2020년 08월 21일 00시
경기,103,2020년 08월 21일 00시
세종,3,2020년 08월 21일 00시
울산,1,2020년 08월 21일 00시
대전,7,2020년 08월 21일 00시
광주,5,2020년 08월 21일 00시
인천,18,2020년 08월 21일 00시
대구,4,2020년 08월 21일 00시
부산,8,2020년 08월 21일 00시
서울,126,2020년 08월 21일 00시
합계,324,2020년 08월 21일 00시
검역,2,2020년 08월 20일 00시
제주,0,2020년 08월 20일 00시
경남,3,2020년 08월 20일 00시
경북,5,2020년 08월 20일 00시
전남,3,2020년 08월 20일 00시
전북,6,2020년 08월 20일 00시
충남,5,2020년 08월 20일 00시
충북,1,2020년 08월 20일 00시
강원,5,2020년 08월 20일 00시
경기,85,2020년 08월 20일 00시
세종,1,2020년 08월 20일 00시
울산,0,2020년 08월 20일 00시
대전,8,2020년 08월 20일 00시
광주,1,2020년 08월 20일 00시
인천,10,2020년 08월 20일 00시
대구,3,2020년 08월 20일 00시
부산,15,2020년 08월 20일 00시
서울,135,2020년 08월 20일 00시
합계,288,2020년 08월 20일 00시
검역,2,2020년 08월 19일 00시
제주,0,2020년 08월 19일 00시
경남,1,2020년 08월 19일 00시
경북,3,2020년 08월 19일 00시
전남,2,2020년 08월 19일 00시
전북,1,2020년 08월 19일 00시
충남,3,2020년 08월 19일 00시
충북,2,2020년 08월 19일 00시
강원,6,2020년 08월 19일 00시
경기,99,2020년 08월 19일 00시
세종,2,2020년 08월 19일 00시
울산,0,2020년 08월 19일 00시
대전,0,2020년 08월 19일 00시
광주,6,2020년 08월 19일 00시
인천,8,2020년 08월 19일 00시
대구,2,2020년 08월 19일 00시
부산,9,2020년 08월 19일 00시
서울,151,2020년 08월 19일 00시
합계,297,2020년 08월 19일 00시
검역,6,2020년 08월 18일 00시
제주,0,2020년 08월 18일 00시
경남,0,2020년 08월 18일 00시
경북,3,2020년 08월 18일 00시
전남,0,2020년 08월 18일 00시
전북,7,2020년 08월 18일 00시
충남,5,2020년 08월 18일 00시
충북,1,2020년 08월 18일 00시
강원,2,2020년 08월 18일 00시
경기,52,2020년 08월 18일 00시
세종,0,2020년 08월 18일 00시
울산,3,2020년 08월 18일 00시
대전,0,2020년 08월 18일 00시
광주,4,2020년 08월 18일 00시
인천,18,2020년 08월 18일 00시
대구,6,2020년 08월 18일 00시
부산,7,2020년 08월 18일 00시
서울,132,2020년 08월 18일 00시
합계,246,2020년 08월 18일 00시
검역,2,2020년 08월 17일 00시
제주,0,2020년 08월 17일 00시
경남,0,2020년 08월 17일 00시
경북,2,2020년 08월 17일 00시
전남,0,2020년 08월 17일 00시
전북,1,2020년 08월 17일 00시
충남,4,2020년 08월 17일 00시
충북,3,2020년 08월 17일 00시
강원,1,2020년 08월 17일 00시
경기,70,2020년 08월 17일 00시
세종,0,2020년 08월 17일 00시
울산,0,2020년 08월 17일 00시
대전,2,2020년 08월 17일 00시
광주,7,2020년 08월 17일 00시
인천,7,2020년 08월 17일 00시
대구,1,2020년 08월 17일 00시
부산,7,2020년 08월 17일 00시
서울,90,2020년 08월 17일 00시
합계,197,2020년 08월 17일 00시
검역,0,2020년 08월 16일 00시
제주,0,2020년 08월 16일 00시
경남,2,2020년 08월 16일 00시
경북,0,2020년 08월 16일 00시
전남,0,2020년 08월 16일 00시
전북,0,2020년 08월 16일 00시
충남,5,2020년 08월 16일 00시
충북,1,2020년 08월 16일 00시
강원,0,2020년 08월 16일 00시
경기,98,2020년 08월 16일 00시
세종,0,2020년 08월 16일 00시
울산,3,2020년 08월 16일 00시
대전,0,2020년 08월 16일 00시
광주,7,2020년 08월 16일 00시
인천,9,2020년 08월 16일 00시
대구,1,2020년 08월 16일 00시
부산,7,2020년 08월 16일 00시
서울,146,2020년 08월 16일 00시
합계,279,2020년 08월 16일 00시
검역,2,2020년 08월 15일 00시
제주,0,2020년 08월 15일 00시
경남,1,2020년 08월 15일 00시
경북,0,2020년 08월 15일 00시
전남,0,2020년 08월 15일 00시
전북,1,2020년 08월 15일 00시
충남,2,2020년 08월 15일 00시
충북,0,2020년 08월 15일 00시
강원,3,2020년 08월 15일 00시
경기,72,2020년 08월 15일 00시
세종,0,2020년 08월 15일 00시
울산,0,2020년 08월 15일 00시
대전,1,2020년 08월 15일 00시
광주,1,2020년 08월 15일 00시
인천,6,2020년 08월 15일 00시
대구,0,2020년 08월 15일 00시
부산,3,2020년 08월 15일 00시
서울,74,2020년 08월 15일 00시
합계,166,2020년 08월 15일 00시
검역,7,2020년 08월 14일 00시
제주,0,2020년 08월 14일 00시
경남,0,2020년 08월 14일 00시
경북,1,2020년 08월 14일 00시
전남,0,2020년 08월 14일 00시
전북,0,2020년 08월 14일 00시
충남,3,2020년 08월 14일 00시
충북,0,2020년 08월 14일 00시
강원,1,2020년 08월 14일 00시
경기,47,2020년 08월 14일 00시
세종,0,2020년 08월 14일 00시
울산,1,2020년 08월 14일 00시
대전,0,2020년 08월 14일 00시
광주,2,2020년 08월 14일 00시
인천,4,2020년 08월 14일 00시
대구,0,2020년 08월 14일 00시
부산,5,2020년 08월 14일 00시
서울,32,2020년 08월 14일 00시
합계,103,2020년 08월 14일 00시
검역,3,2020년 08월 13일 00시
제주,0,2020년 08월 13일 00시
경남,1,2020년 08월 13일 00시
경북,0,2020년 08월 13일 00시
전남,0,2020년 08월 13일 00시
전북,2,2020년 08월 13일 00시
충남,1,2020년 08월 13일 00시
충북,0,2020년 08월 13일 00시
강원,0,2020년 08월 13일 00시
경기,17,2020년 08월 13일 00시
세종,0,2020년 08월 13일 00시
울산,1,2020년 08월 13일 00시
대전,0,2020년 08월 13일 00시
광주,2,2020년 08월 13일 00시
인천,0,2020년 08월 13일 00시
대구,1,2020년 08월 13일 00시
부산,2,2020년 08월 13일 00시
서울,26,2020년 08월 13일 00시
합계,56,2020년 08월 13일 00시
검역,8,2020년 08월 12일 00시
제주,0,2020년 08월 12일 00시
경남,0,2020년 08월 12일 00시
경북,0,2020년 08월 12일 00시
전남,0,2020년 08월 12일 00시
전북,0,2020년 08월 12일 00시
충남,1,2020년 08월 12일 00시
충북,0,2020년 08월 12일 00시
강원,0,2020년 08월 12일 00시
경기,19,2020년 08월 12일 00시
세종,0,2020년 08월 12일 00시
울산,0,2020년 08월 12일 00시
대전,1,2020년 08월 12일 00시
광주,6,2020년 08월 12일 00시
인천,0,2020년 08월 12일 00시
대구,0,2020년 08월 12일 00시
부산,4,2020년 08월 12일 00시
서울,15,2020년 08월 12일 00시
합계,54,2020년 08월 12일 00시
검역,3,2020년 08월 11일 00시
제주,0,2020년 08월 11일 00시
경남,0,2020년 08월 11일 00시
경북,0,2020년 08월 11일 00시
전남,0,2020년 08월 11일 00시
전북,1,2020년 08월 11일 00시
충남,2,2020년 08월 11일 00시
충북,0,2020년 08월 11일 00시
강원,0,2020년 08월 11일 00시
경기,13,2020년 08월 11일 00시
세종,0,2020년 08월 11일 00시
울산,0,2020년 08월 11일 00시
대전,0,2020년 08월 11일 00시
광주,0,2020년 08월 11일 00시
인천,0,2020년 08월 11일 00시
대구,0,2020년 08월 11일 00시
부산,9,2020년 08월 11일 00시
서울,6,2020년 08월 11일 00시
합계,34,2020년 08월 11일 00시
검역,6,2020년 08월 10일 00시
제주,0,2020년 08월 10일 00시
경남,0,2020년 08월 10일 00시
경북,1,2020년 08월 10일 00시
전남,1,2020년 08월 10일 00시
전북,0,2020년 08월 10일 00시
충남,0,2020년 08월 10일 00시
충북,0,2020년 08월 10일 00시
강원,0,2020년 08월 10일 00시
경기,6,2020년 08월 10일 00시
세종,0,2020년 08월 10일 00시
울산,0,2020년 08월 10일 00시
대전,0,2020년 08월 10일 00시
광주,0,2020년 08월 10일 00시
인천,0,2020년 08월 10일 00시
대구,0,2020년 08월 10일 00시
부산,1,2020년 08월 10일 00시
서울,13,2020년 08월 10일 00시
합계,28,2020년 08월 10일 00시
검역,1,2020년 08월 09일 00시
제주,0,2020년 08월 09일 00시
경남,0,2020년 08월 09일 00시
경북,0,2020년 08월 09일 00시
전남,0,2020년 08월 09일 00시
전북,0,2020년 08월 09일 00시
충남,1,2020년 08월 09일 00시
충북,1,2020년 08월 09일 00시
강원,0,2020년 08월 09일 00시
경기,15,2020년 08월 09일 00시
세종,0,2020년 08월 09일 00시
울산,1,2020년 08월 09일 00시
대전,0,2020년 08월 09일 00시
광주,2,2020년 08월 09일 00시
인천,1,2020년 08월 09일 00시
대구,1,2020년 08월 09일 00시
부산,0,2020년 08월 09일 00시
서울,13,2020년 08월 09일 00시
합계,36,2020년 08월 09일 00시
검역,5,2020년 08월 08일 00시
제주,0,2020년 08월 08일 00시
경남,0,2020년 08월 08일 00시
경북,0,2020년 08월 08일 00시
전남,0,2020년 08월 08일 00시
전북,0,2020년 08월 08일 00시
충남,0,2020년 08월 08일 00시
충북,0,2020년 08월 08일 00시
강원,0,2020년 08월 08일 00시
경기,18,2020년 08월 08일 00시
세종,0,2020년 08월 08일 00시
울산,0,2020년 08월 08일 00시
대전,0,2020년 08월 08일 00시
광주,0,2020년 08월 08일 00시
인천,2,2020년 08월 08일 00시
대구,1,2020년 08월 08일 00시
부산,0,2020년 08월 08일 00시
서울,17,2020년 08월 08일 00시
합계,43,2020년 08월 08일 00시
검역,5,2020년 08월 07일 00시
제주,0,2020년 08월 07일 00시
경남,0,2020년 08월 07일 00시
경북,1,2020년 08월 07일 00시
전남,0,2020년 08월 07일 00시
전북,0,2020년 08월 07일 00시
충남,0,2020년 08월 07일 00시
충북,0,2020년 08월 07일 00시
강원,0,2020년 08월 07일 00시
경기,5,2020년 08월 07일 00시
세종,0,2020년 08월 07일 00시
울산,0,2020년 08월 07일 00시
대전,0,2020년 08월 07일 00시
광주,0,2020년 08월 07일 00시
인천,0,2020년 08월 07일 00시
대구,0,2020년 08월 07일 00시
부산,0,2020년 08월 07일 00시
서울,9,2020년 08월 07일 00시
합계,20,2020년 08월 07일 00시
검역,6,2020년 08월 06일 00시
제주,0,2020년 08월 06일 00시
경남,1,2020년 08월 06일 00시
경북,4,2020년 08월 06일 00시
전남,2,2020년 08월 06일 00시
전북,0,2020년 08월 06일 00시
충남,2,2020년 08월 06일 00시
충북,1,2020년 08월 06일 00시
강원,2,2020년 08월 06일 00시
경기,13,2020년 08월 06일 00시
세종,0,2020년 08월 06일 00시
울산,0,2020년 08월 06일 00시
대전,0,2020년 08월 06일 00시
광주,0,2020년 08월 06일 00시
인천,0,2020년 08월 06일 00시
대구,0,2020년 08월 06일 00시
부산,3,2020년 08월 06일 00시
서울,9,2020년 08월 06일 00시
합계,43,2020년 08월 06일 00시
검역,6,2020년 08월 06일 00시
제주,0,2020년 08월 06일 00시
경남,1,2020년 08월 06일 00시
경북,4,2020년 08월 06일 00시
전남,2,2020년 08월 06일 00시
전북,0,2020년 08월 06일 00시
충남,2,2020년 08월 06일 00시
충북,1,2020년 08월 06일 00시
강원,2,2020년 08월 06일 00시
경기,13,2020년 08월 06일 00시
세종,0,2020년 08월 06일 00시
울산,0,2020년 08월 06일 00시
대전,0,2020년 08월 06일 00시
광주,0,2020년 08월 06일 00시
인천,0,2020년 08월 06일 00시
대구,0,2020년 08월 06일 00시
부산,3,2020년 08월 06일 00시
서울,9,2020년 08월 06일 00시
합계,43,2020년 08월 06일 00시
검역,6,2020년 08월 05일 00시
제주,0,2020년 08월 05일 00시
경남,4,2020년 08월 05일 00시
경북,0,2020년 08월 05일 00시
전남,0,2020년 08월 05일 00시
전북,0,2020년 08월 05일 00시
충남,0,2020년 08월 05일 00시
충북,6,2020년 08월 05일 00시
강원,1,2020년 08월 05일 00시
경기,7,2020년 08월 05일 00시
세종,0,2020년 08월 05일 00시
울산,0,2020년 08월 05일 00시
대전,0,2020년 08월 05일 00시
광주,1,2020년 08월 05일 00시
인천,1,2020년 08월 05일 00시
대구,1,2020년 08월 05일 00시
부산,0,2020년 08월 05일 00시
서울,6,2020년 08월 05일 00시
합계,33,2020년 08월 05일 00시
검역,7,2020년 08월 04일 00시
제주,0,2020년 08월 04일 00시
