province,confirmed,date
,,
검역,3,2020-09-03
,,
제주,0,2020-09-03
,,
경남,0,2020-09-03
,,
경북,0,2020-09-03
,,
전남,6,2020-09-03
,,
전북,0,2020-09-03
,,
충남,7,2020-09-03
,,
충북,1,2020-09-03
,,
강원,4,2020-09-03
,,
경기,64,2020-09-03
,,
세종,0,2020-09-03
,,
울산,8,2020-09-03
,,
대전,4,2020-09-03
,,
광주,6,2020-09-03
,,
인천,16,2020-09-03
,,
대구,3,2020-09-03
,,
부산,4,2020-09-03
,,
서울,69,2020-09-03
,,
합계,195,2020-09-03
,,
검역,3,2020-09-02
,,
제주,1,2020-09-02
,,
경남,1,2020-09-02
,,
경북,4,2020-09-02
,,
전남,3,2020-09-02
,,
전북,0,2020-09-02
,,
충남,7,2020-09-02
,,
충북,1,2020-09-02
,,
강원,2,2020-09-02
,,
경기,84,2020-09-02
,,
세종,0,2020-09-02
,,
울산,5,2020-09-02
,,
대전,14,2020-09-02
,,
광주,10,2020-09-02
,,
인천,11,2020-09-02
,,
대구,13,2020-09-02
,,
부산,7,2020-09-02
,,
서울,101,2020-09-02
,,
합계,267,2020-09-02
,,
검역,4,2020-09-01
,,
제주,1,2020-09-01
,,
경남,3,2020-09-01
,,
경북,9,2020-09-01
,,
전남,4,2020-09-01
,,
전북,0,2020-09-01
,,
충남,7,2020-09-01
,,
충북,1,2020-09-01
,,
강원,4,2020-09-01
,,
경기,63,2020-09-01
,,
세종,0,2020-09-01
,,
울산,6,2020-09-01
,,
대전,8,2020-09-01
,,
광주,4,2020-09-01
,,
인천,22,2020-09-01
,,
대구,2,2020-09-01
,,
부산,3,2020-09-01
,,
서울,94,2020-09-01
,,
합계,235,2020-09-01
,,
검역,3,2020-08-31
,,
제주,6,2020-08-31
,,
경남,1,2020-08-31
,,
경북,2,2020-08-31
,,
전남,5,2020-08-31
,,
전북,1,2020-08-31
,,
충남,9,2020-08-31
,,
충북,1,2020-08-31
,,
강원,3,2020-08-31
,,
경기,79,2020-08-31
,,
세종,1,2020-08-31
,,
울산,5,2020-08-31
,,
대전,7,2020-08-31
,,
광주,9,2020-08-31
,,
인천,14,2020-08-31
,,
대구,4,2020-08-31
,,
부산,4,2020-08-31
,,
서울,94,2020-08-31
,,
합계,248,2020-08-31
,,
검역,7,2020-08-30
,,
제주,2,2020-08-30
,,
경남,7,2020-08-30
,,
경북,3,2020-08-30
,,
전남,8,2020-08-30
,,
전북,0,2020-08-30
,,
충남,8,2020-08-30
,,
충북,5,2020-08-30
,,
강원,2,2020-08-30
,,
경기,80,2020-08-30
,,
세종,1,2020-08-30
,,
울산,3,2020-08-30
,,
대전,6,2020-08-30
,,
광주,2,2020-08-30
,,
인천,13,2020-08-30
,,
대구,30,2020-08-30
,,
부산,6,2020-08-30
,,
서울,116,2020-08-30
,,
합계,299,2020-08-30
,,
검역,5,2020-08-29
,,
제주,1,2020-08-29
,,
경남,12,2020-08-29
,,
경북,1,2020-08-29
,,
전남,9,2020-08-29
,,
전북,0,2020-08-29
,,
충남,8,2020-08-29
,,
충북,6,2020-08-29
,,
강원,0,2020-08-29
,,
경기,104,2020-08-29
,,
세종,0,2020-08-29
,,
울산,0,2020-08-29
,,
대전,4,2020-08-29
,,
광주,16,2020-08-29
,,
인천,20,2020-08-29
,,
대구,6,2020-08-29
,,
